rank,tier,name,section,views_3mo,wikipedia_title,flag
1,S,Cleopatra,ANCIENT & CLASSICAL,2105445,Cleopatra,
2,S,King Henry the Eighth,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",995884,Henry VIII,
3,S,Donald Trump,US PRESIDENTS & POLITICIANS,3465723,Donald Trump,living head of state; image gen may refuse
4,S,Winston Churchill,WORLD LEADERS (HISTORICAL),814460,Winston Churchill,
5,S,Pope Francis,RELIGIOUS & SPIRITUAL,381421,Pope Francis,
6,S,Albert Einstein,"SCIENTISTS, INVENTORS & THINKERS",884148,Albert Einstein,
7,S,Frida Kahlo,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",502992,Frida Kahlo,
8,S,William Shakespeare,WRITERS & PHILOSOPHERS,771219,William Shakespeare,
9,S,Wolfgang Amadeus Mozart,"COMPOSERS, CLASSICAL & STAGE",483749,Wolfgang Amadeus Mozart,
10,S,Stan Lee,"GAME, COMICS & ANIMATION CREATORS",644242,Stan Lee,
11,S,Clint Eastwood,CLASSIC HOLLYWOOD,1484655,Clint Eastwood,
12,S,Robin Williams,COMEDIANS,1134681,Robin Williams,
13,S,Anthony Bourdain,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",1382280,Anthony Bourdain,
14,S,Dolly Parton,ROCK & POP LEGENDS,13022600,Dolly Parton,
15,S,Tupac Shakur,HIP-HOP & R&B,899977,Tupac Shakur,
16,S,Conor McGregor,"BOXING, MMA, WRESTLING & STRENGTH",2059984,Conor McGregor,"lost civil sexual-assault case 2024; kept, borderline"
17,S,IShowSpeed,"INTERNET, STREAMERS & ESPORTS",1084619,IShowSpeed,
18,S,Dario Amodei,AI & MACHINE LEARNING,774589,Dario Amodei,
19,S,The Loch Ness Monster,FICTIONAL & FOLKLORE (public domain only) / Cryptids,188622,Loch Ness Monster,
20,S,Don Quixote,FICTIONAL & FOLKLORE (public domain only) / Literature,296830,Don Quixote,
21,S,The Statue of Liberty,FICTIONAL & FOLKLORE (public domain only) / Art come to life,410449,Statue of Liberty,
22,S,Popeye,FICTIONAL & FOLKLORE (public domain only) / Newly public domain cartoons (period-accurate designs only),125847,Popeye,1929 design PD; King Features marks
23,S,Elon Musk,TECH & BUSINESS,2511232,Elon Musk,
24,S,Sylvester Stallone,ACTION & MARTIAL ARTS,1256106,Sylvester Stallone,
25,S,Victor Wembanyama,BASKETBALL,2312557,Victor Wembanyama,
26,S,Babe Ruth,BASEBALL & HOCKEY,408531,Babe Ruth,
27,S,Blackbeard,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",352418,Blackbeard,
28,S,Kim Jong Un,WORLD LEADERS (CURRENT),517865,Kim Jong Un,living head of state; image gen may refuse
29,S,Santa Claus,FICTIONAL & FOLKLORE (public domain only) / Folklore & holiday,98862,Santa Claus,
30,S,Medusa,FICTIONAL & FOLKLORE (public domain only) / Myth,234717,Medusa,
31,S,Zlatan Ibrahimović,SOCCER,3051058,Zlatan Ibrahimović,
32,S,David Lynch,FILM DIRECTORS,558941,David Lynch,
33,S,Deion Sanders,AMERICAN FOOTBALL,252807,Deion Sanders,
34,S,Anna Wintour,FASHION & MODELS,286268,Anna Wintour,
35,S,Daft Punk,"COUNTRY, EDM & OTHER",267392,Daft Punk,
36,S,Andre Agassi,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",520058,Andre Agassi,
37,S,Tonya Harding,"GANGSTERS, TRUE CRIME & FRAUDSTERS (intentional villains)",164686,Tonya Harding,
38,S,Lady Gaga,MODERN POP,622180,Lady Gaga,
39,S,Keanu Reeves,MODERN ACTORS,1187292,Keanu Reeves,
40,S,Jesus Christ,ANCIENT & CLASSICAL,676202,Jesus,sacred figure; kept
41,S,Napoleon,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",925855,Napoleon,
42,S,George Washington,US PRESIDENTS & POLITICIANS,1387747,George Washington,
43,S,Mahatma Gandhi,WORLD LEADERS (HISTORICAL),594669,Mahatma Gandhi,
44,S,Mother Teresa,RELIGIOUS & SPIRITUAL,352880,Mother Teresa,
45,S,Nikola Tesla,"SCIENTISTS, INVENTORS & THINKERS",537132,Nikola Tesla,
46,S,Yayoi Kusama,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",486695,Yayoi Kusama,
47,S,Friedrich Nietzsche,WRITERS & PHILOSOPHERS,409588,Friedrich Nietzsche,
48,S,Ludwig van Beethoven,"COMPOSERS, CLASSICAL & STAGE",313796,Ludwig van Beethoven,
49,S,Gabe Newell,"GAME, COMICS & ANIMATION CREATORS",300334,Gabe Newell,
50,S,Marilyn Monroe,CLASSIC HOLLYWOOD,1138794,Marilyn Monroe,
51,S,Sacha Baron Cohen,COMEDIANS,850095,Sacha Baron Cohen,
52,S,Kim Kardashian,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",938688,Kim Kardashian,
53,S,Michael Jackson,ROCK & POP LEGENDS,4665484,Michael Jackson,
54,S,Eminem,HIP-HOP & R&B,709632,Eminem,
55,S,John Cena,"BOXING, MMA, WRESTLING & STRENGTH",737808,John Cena,
56,S,MrBeast,"INTERNET, STREAMERS & ESPORTS",706316,MrBeast,
57,S,Sam Altman,AI & MACHINE LEARNING,729455,Sam Altman,
58,S,Bigfoot,FICTIONAL & FOLKLORE (public domain only) / Cryptids,187744,Bigfoot,
59,S,Sherlock Holmes,FICTIONAL & FOLKLORE (public domain only) / Literature,294763,Sherlock Holmes,
60,S,Mona Lisa,FICTIONAL & FOLKLORE (public domain only) / Art come to life,384704,Mona Lisa,
61,S,Betty Boop,FICTIONAL & FOLKLORE (public domain only) / Newly public domain cartoons (period-accurate designs only),103219,Betty Boop,1930 design PD; Fleischer marks on modern version
62,S,Steve Jobs,TECH & BUSINESS,846628,Steve Jobs,
63,S,Arnold Schwarzenegger,ACTION & MARTIAL ARTS,1015377,Arnold Schwarzenegger,
64,S,Michael Jordan,BASKETBALL,1063504,Michael Jordan,
