rank,name,section,views_3mo,wikipedia_title,flag
1,Cleopatra,ANCIENT & CLASSICAL,2105445,Cleopatra,
2,King Henry the Eighth,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",995884,Henry VIII,
3,Christopher Columbus,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",512838,Christopher Columbus,
4,Charles Manson,"GANGSTERS, TRUE CRIME & FRAUDSTERS (intentional villains)",1266639,Charles Manson,
5,Donald Trump,US PRESIDENTS & POLITICIANS,3465723,Donald Trump,living head of state; image gen may refuse
6,Winston Churchill,WORLD LEADERS (HISTORICAL),814460,Winston Churchill,
7,Narendra Modi,WORLD LEADERS (CURRENT),843184,Narendra Modi,living head of state; image gen may refuse
8,Queen Elizabeth the Second,BRITISH ROYALS,1562930,Elizabeth II,
9,Edward Snowden,"ACTIVISTS, CIVIL RIGHTS & WHISTLEBLOWERS",510746,Edward Snowden,
10,Pope Francis,RELIGIOUS & SPIRITUAL,381421,Pope Francis,
11,Albert Einstein,"SCIENTISTS, INVENTORS & THINKERS",884148,Albert Einstein,
12,Amelia Earhart,ASTRONAUTS & AVIATORS,393806,Amelia Earhart,
13,Jeff Bezos,TECH & BUSINESS,3321950,Jeff Bezos,
14,Frida Kahlo,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",502992,Frida Kahlo,
15,William Shakespeare,WRITERS & PHILOSOPHERS,771219,William Shakespeare,
16,Wolfgang Amadeus Mozart,"COMPOSERS, CLASSICAL & STAGE",483749,Wolfgang Amadeus Mozart,
17,Christopher Nolan,FILM DIRECTORS,3957849,Christopher Nolan,
18,Stan Lee,"GAME, COMICS & ANIMATION CREATORS",644242,Stan Lee,
19,Clint Eastwood,CLASSIC HOLLYWOOD,1484655,Clint Eastwood,
20,Zendaya,MODERN ACTORS,5973517,Zendaya,
21,Bruce Willis,ACTION & MARTIAL ARTS,1298732,Bruce Willis,
22,Robin Williams,COMEDIANS,1134681,Robin Williams,
23,Anthony Bourdain,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",1382280,Anthony Bourdain,
24,Victoria Beckham,FASHION & MODELS,516010,Victoria Beckham,
25,Dolly Parton,ROCK & POP LEGENDS,13022600,Dolly Parton,
26,Shakira,MODERN POP,3635151,Shakira,
27,Tupac Shakur,HIP-HOP & R&B,899977,Tupac Shakur,
28,Shania Twain,"COUNTRY, EDM & OTHER",689127,Shania Twain,
29,LeBron James,BASKETBALL,2357280,LeBron James,
30,Travis Kelce,AMERICAN FOOTBALL,1100222,Travis Kelce,
31,Erling Haaland,SOCCER,10648295,Erling Haaland,
32,Shohei Ohtani,BASEBALL & HOCKEY,697800,Shohei Ohtani,
33,Conor McGregor,"BOXING, MMA, WRESTLING & STRENGTH",2059984,Conor McGregor,"lost civil sexual-assault case 2024; kept, borderline"
34,Novak Djokovic,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",1526167,Novak Djokovic,
35,IShowSpeed,"INTERNET, STREAMERS & ESPORTS",1084619,IShowSpeed,
36,Dario Amodei,AI & MACHINE LEARNING,774589,Dario Amodei,
37,Baba Yaga,FICTIONAL & FOLKLORE (public domain only) / Folklore & holiday,149562,Baba Yaga,
38,The Loch Ness Monster,FICTIONAL & FOLKLORE (public domain only) / Cryptids,188622,Loch Ness Monster,
39,Odysseus,FICTIONAL & FOLKLORE (public domain only) / Myth,2018502,Odysseus,
40,Robin Hood,FICTIONAL & FOLKLORE (public domain only) / Legend & tall tales,380117,Robin Hood,
41,Don Quixote,FICTIONAL & FOLKLORE (public domain only) / Literature,296830,Don Quixote,
42,King Lear,FICTIONAL & FOLKLORE (public domain only) / Shakespeare,112274,King Lear,
43,The Statue of Liberty,FICTIONAL & FOLKLORE (public domain only) / Art come to life,410449,Statue of Liberty,
44,Popeye,FICTIONAL & FOLKLORE (public domain only) / Newly public domain cartoons (period-accurate designs only),125847,Popeye,1929 design PD; King Features marks
45,Homer,ANCIENT & CLASSICAL,1480551,Homer,
46,Napoleon,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",925855,Napoleon,
47,Billy the Kid,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",423949,Billy the Kid,
48,O.J. Simpson,"GANGSTERS, TRUE CRIME & FRAUDSTERS (intentional villains)",739943,O. J. Simpson,
49,Barack Obama,US PRESIDENTS & POLITICIANS,1452152,Barack Obama,
50,Che Guevara,WORLD LEADERS (HISTORICAL),780627,Che Guevara,
51,Giorgia Meloni,WORLD LEADERS (CURRENT),737056,Giorgia Meloni,living head of state; image gen may refuse
52,King Charles the Third,BRITISH ROYALS,1412485,Charles III,
53,Helen Keller,"ACTIVISTS, CIVIL RIGHTS & WHISTLEBLOWERS",481689,Helen Keller,
54,Mother Teresa,RELIGIOUS & SPIRITUAL,352880,Mother Teresa,
55,David Attenborough,"SCIENTISTS, INVENTORS & THINKERS",711622,David Attenborough,
56,Neil Armstrong,ASTRONAUTS & AVIATORS,346169,Neil Armstrong,
57,Elon Musk,TECH & BUSINESS,2511232,Elon Musk,
58,Yayoi Kusama,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",486695,Yayoi Kusama,
59,George R. R. Martin,WRITERS & PHILOSOPHERS,683298,George R. R. Martin,
60,Lin-Manuel Miranda,"COMPOSERS, CLASSICAL & STAGE",441328,Lin-Manuel Miranda,
61,Steven Spielberg,FILM DIRECTORS,1493716,Steven Spielberg,
62,Seth MacFarlane,"GAME, COMICS & ANIMATION CREATORS",445323,Seth MacFarlane,
63,Marilyn Monroe,CLASSIC HOLLYWOOD,1138794,Marilyn Monroe,
64,Tom Holland,MODERN ACTORS,5139436,Tom Holland,
65,Sylvester Stallone,ACTION & MARTIAL ARTS,1256106,Sylvester Stallone,
66,Sacha Baron Cohen,COMEDIANS,850095,Sacha Baron Cohen,
67,Kim Kardashian,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",938688,Kim Kardashian,
68,Gigi Hadid,FASHION & MODELS,492638,Gigi Hadid,
69,Michael Jackson,ROCK & POP LEGENDS,4665484,Michael Jackson,
70,Taylor Swift,MODERN POP,2458792,Taylor Swift,
71,Travis Scott,HIP-HOP & R&B,752906,Travis Scott,
72,Johnny Cash,"COUNTRY, EDM & OTHER",648157,Johnny Cash,
73,Victor Wembanyama,BASKETBALL,2312557,Victor Wembanyama,
74,Tom Brady,AMERICAN FOOTBALL,694557,Tom Brady,
75,Lionel Messi,SOCCER,10228448,Lionel Messi,
